,idmb_id,Remarks,SentimentScore Military,OverallSentiment Military,SentimentScore Army,OverallSentiment Army,SentimentScore AirForce,OverallSentiment AirForce,SentimentScore Navy,OverallSentiment Navy,SentimentScore War,OverallSentiment War,SentimentScore Marine,OverallSentiment Marine
10,tt0035608,navy and merchant marines provided use of ship and men for story of navy gunners aboard a merchant ship in the north atlantic during world war ii.,"[0.29279366, 0.030856352, 0.67635]",2,"[0.71273655, 0.08402106, 0.2032424]",0,"[0.5332817, 0.050160535, 0.4165578]",0,"[0.016194403, 0.0026120641, 0.98119354]",2,"[0.80702543, 0.014523727, 0.1784508]",0,"[0.30464527, 0.028232565, 0.6671221]",2
11,tt0283856,"production company requested use of navy installations and ship in pearl harbor, hi. after successful negotiations to improve accuracy and positive aspect of script, ok'd assistance.","[0.6678565, 0.08941037, 0.24273312]",0,"[0.6539667, 0.2595597, 0.08647361]",0,"[0.65684277, 0.11095813, 0.23219915]",0,"[0.77034277, 0.031480346, 0.19817689]",0,"[0.8328126, 0.1154135, 0.051773917]",0,"[0.6494598, 0.10579013, 0.24475005]",0
12,tt0035614,army air corps provided access to the harlingen aerial gunnery school for filmmakers to show how it trained bomber gunners and it also provided planes to stage mission against japanese in south pacific.,"[0.14935902, 0.007842881, 0.8427981]",2,"[0.18640593, 0.008342379, 0.8052517]",2,"[0.30145806, 0.021080311, 0.6774616]",2,"[0.14991419, 0.007918494, 0.8421673]",2,"[0.97365004, 0.009460476, 0.016889524]",0,"[0.1529306, 0.008612016, 0.8384574]",2
13,tt0103626,the department of the air force and dod decided not to support the film because of inaccuracies and premises that service covered up reasons for crash of f in korea. hbo cable movie,"[0.29284057, 0.66250306, 0.044656415]",1,"[0.23060255, 0.7419535, 0.027443929]",1,"[0.32821178, 0.54444903, 0.12733917]",1,"[0.21204953, 0.721685, 0.06626545]",1,"[0.56912017, 0.40255603, 0.02832374]",0,"[0.23819575, 0.72760445, 0.03419984]",1
14,tt0099314,the department of the air force and the national guard bureau approved limited assistance. in the best interest of the department.,"[0.04486823, 0.018798994, 0.93633276]",2,"[0.17176831, 0.08011023, 0.7481215]",2,"[0.016277632, 0.0041157943, 0.97960657]",2,"[0.05235162, 0.023576772, 0.9240716]",2,"[0.35154676, 0.08241247, 0.5660408]",2,"[0.0557891, 0.024017045, 0.9201939]",2
15,tt0043270,"air force cadets learning to become fighter pilots in world war ii. full cooperation of planes, equipment, and locales","[0.016891466, 0.0032214446, 0.9798871]",2,"[0.048995413, 0.00946965, 0.94153494]",2,"[0.006729961, 0.0016712783, 0.9915988]",2,"[0.019011, 0.0044275485, 0.9765614]",2,"[0.5336714, 0.017337814, 0.44899085]",0,"[0.0074622077, 0.00193056, 0.99060726]",2
16,tt0029847,marines provided routine assistance in the form of men and planes for typical story of fliers pursuing the same girl during peacetime,"[0.7170559, 0.04209982, 0.24084423]",0,"[0.7658193, 0.18880317, 0.045377575]",0,"[0.7304157, 0.15978968, 0.10979467]",0,"[0.112288445, 0.006315606, 0.88139594]",2,"[0.9553239, 0.03905396, 0.0056221974]",0,"[0.13708733, 0.0057009286, 0.8572117]",2
17,tt0035616,"army air corps provided full assistance at an air base near tampa for film about the mary anne arrived in pearl harbor on december 7. hap arnold provided the technical advisor with a card he showed when he needed to use bombers and fighters. film made in florida to avoid having planes with japanese insignia flying over southern californa. the climactic battle, often described as midway, was filmed at the warner brothers sea using miniatures in february, 1942","[0.33847976, 0.04263791, 0.61888236]",2,"[0.19711992, 0.021469923, 0.78141016]",2,"[0.5316174, 0.1314104, 0.3369722]",0,"[0.3192382, 0.069194086, 0.61156774]",2,"[0.8089085, 0.14061995, 0.050471574]",0,"[0.0762511, 0.008162027, 0.9155869]",2
18,tt0118571,air force provided full cooperation for film in which russian terrorists kidnap air force one and hold the president hostage. use of fighters and transports for ambiance,"[0.0027541108, 0.0018218567, 0.9954241]",2,"[0.016216539, 0.008346253, 0.9754372]",2,"[0.0023872296, 0.0013349055, 0.99627787]",2,"[0.0027470423, 0.0018251919, 0.9954278]",2,"[0.5711706, 0.050762814, 0.37806657]",0,"[0.029519089, 0.017646441, 0.9528345]",2
19,tt0071110,"air force provided usf of a helicopter in sequence where charlton heston is dropped into damaged 747, but only after the service ascertained that its helicopter could actually match the speed of a 747","[0.6732847, 0.27916092, 0.04755439]",0,"[0.43464717, 0.52893513, 0.036417745]",1,"[0.40156144, 0.031445764, 0.56699276]",2,"[0.63170344, 0.24931395, 0.1189826]",0,"[0.6454044, 0.339215, 0.015380629]",0,"[0.44507784, 0.5321697, 0.022752423]",1
20,tt0075648,navy provided full cooperation in the form of a search and rescue unit and underwater rescue vehicles for a typical disaster movie about the crash of a private 747 carrying priceless art treasures. the service felt the film highlighted its underwater rescue capabilities.,"[0.0022145652, 0.0019055357, 0.9958799]",2,"[0.034962583, 0.042319965, 0.92271745]",2,"[0.008026105, 0.00683482, 0.9851391]",2,"[0.0014857454, 0.0012263884, 0.99728787]",2,"[0.29422954, 0.32437366, 0.38139674]",2,"[0.023562131, 0.03278968, 0.9436482]",2
21,tt0054613,navy provided use of locations and a ship for this comedy set in world war ii,"[0.0131915165, 0.0026612969, 0.9841472]",2,"[0.077719785, 0.011674657, 0.9106056]",2,"[0.34030393, 0.05292351, 0.60677254]",2,"[0.0022374564, 0.0010601471, 0.9967024]",2,"[0.6714421, 0.023479152, 0.30507877]",0,"[0.08299924, 0.009546185, 0.9074546]",2
22,tt0053583,marines provided men and equipment for combat sequences in movie set in korean war,"[0.052666586, 0.0054077297, 0.9419257]",2,"[0.1869818, 0.016746009, 0.79627216]",2,"[0.65416837, 0.061265357, 0.2845663]",0,"[0.005461103, 0.0014178843, 0.993121]",2,"[0.9257357, 0.031907223, 0.042357076]",0,"[0.08362564, 0.005070963, 0.9113034]",2
23,tt1243974,approved access to former housing area at joint base pearl harbor hickam afb,"[0.273476, 0.021282816, 0.7052412]",2,"[0.68329126, 0.10897862, 0.20773014]",0,"[0.41136783, 0.034895223, 0.553737]",2,"[0.5538995, 0.053977057, 0.39212346]",0,"[0.8596253, 0.10358287, 0.03679185]",0,"[0.53084755, 0.035464365, 0.43368813]",0
24,tt0092545,"story does not accurately portray u.s. efforts to maintain nuclear deterrence, to seek arms reductions, and to keep the peace. assistance denied.","[0.017231729, 0.9746778, 0.008090503]",1,"[0.027984114, 0.9627523, 0.0092635155]",1,"[0.042384934, 0.92974764, 0.027867476]",1,"[0.017301785, 0.973308, 0.0093902]",1,"[0.26683605, 0.6988259, 0.03433808]",1,"[0.027817218, 0.96088004, 0.011302763]",1
25,tt0060098,marines provided typical assistance of men and equipment for world war ii movie,"[0.599394, 0.012534904, 0.38807106]",0,"[0.711812, 0.020093612, 0.26809442]",0,"[0.6438676, 0.023586692, 0.3325457]",0,"[0.2689109, 0.007116273, 0.72397286]",2,"[0.7970818, 0.013411439, 0.18950672]",0,"[0.5329286, 0.008226265, 0.4588452]",0
26,tt0109096,producer requested use of presidio's hamilton airfield for reenactment of a landing in this docudrama. not available due to transition to private sector. negotiated agreements regarding script minor but producer ultimately decided to use civilian facilities.,"[0.8246406, 0.15874179, 0.016617645]",0,"[0.8012203, 0.1856786, 0.013101127]",0,"[0.7207198, 0.25757238, 0.021707766]",0,"[0.8091501, 0.17567934, 0.015170544]",0,"[0.96761334, 0.02623479, 0.0061518205]",0,"[0.7443202, 0.24298015, 0.012699599]",0
27,tt0014672,"film was d.w. griffith's attempt to do for the american revolution what birth of a nation did for the civil war and reconstruction. army provided a calvary unit, men, and support equipment on theory that its officers could study tactics used to fight the revolution.","[0.8483215, 0.06586573, 0.08581277]",0,"[0.80265415, 0.058361925, 0.138984]",0,"[0.81831855, 0.1117237, 0.06995782]",0,"[0.8596969, 0.052947305, 0.08735579]",0,"[0.8687305, 0.043463603, 0.08780593]",0,"[0.8917695, 0.074425146, 0.033805326]",0
28,tt0042195,navy provided a ship for a brief sequence at the end of the film when hero is rescued from hiding place.,"[0.32201034, 0.08483424, 0.59315544]",2,"[0.54296327, 0.3388052, 0.11823152]",0,"[0.44998997, 0.16683011, 0.3831799]",0,"[0.005414634, 0.002696861, 0.9918885]",2,"[0.9114338, 0.015846027, 0.07272015]",0,"[0.38967863, 0.054624327, 0.555697]",2
29,tt0112346,"production company requested marine musicians to portray marine band, technical assistance, extras, to enact white house social functions and to assure that other military portrayals are reasonably positive and accurate.","[0.79175943, 0.07115513, 0.13708544]",0,"[0.54618937, 0.4324003, 0.02141036]",0,"[0.57467884, 0.40959424, 0.0157269]",0,"[0.69843143, 0.28831857, 0.013249968]",0,"[0.8548311, 0.13181384, 0.013355093]",0,"[0.83099246, 0.15301636, 0.015991183]",0
30,tt0057840,"first american movie to show a military man as a professed coward and proud of it. james garner is a go fer' for his admiral in the weeks before d day. the admiral decides the first dead american on omaha beach should be a navy man. garner ultimately becomes a hero and emily approves, thus the title. no record of company seeking cooperation given the portrayal. however, film is important since it contained anti war arguments as vietnam was heating up.","[0.23019601, 0.61612713, 0.15367685]",1,"[0.4439817, 0.49573624, 0.060282033]",1,"[0.45518312, 0.41565862, 0.12915824]",0,"[0.601676, 0.27631894, 0.122005105]",0,"[0.9087836, 0.02254287, 0.068673484]",0,"[0.5362917, 0.3573098, 0.106398545]",0
31,tt0084434,"the navy declined because of damaging portrayal of navy single parent lifestyle, negative portrayal of women living around air station, and a fight between officer candidate and drill instructor. filmmakers wouldn't change these scenes, so assistance became impossible. marines offered to cooperate, but producer did not have time. still, marines provided a d.i. as technical advisor and off duty marines as extras","[0.38803947, 0.57661337, 0.035347197]",1,"[0.47301868, 0.5076449, 0.019336522]",1,"[0.32567406, 0.6311089, 0.043217085]",1,"[0.02421485, 0.92445755, 0.051327635]",1,"[0.62203366, 0.364041, 0.0139254]",0,"[0.431109, 0.5201122, 0.048778843]",1
32,tt0037514,"navy provided locations and ships as background for end of the war song and dance comedy, i.e., lead characters are in the navy","[0.849315, 0.04599602, 0.10468903]",0,"[0.8504149, 0.10673506, 0.04285011]",0,"[0.7878446, 0.1093913, 0.102764]",0,"[0.40563664, 0.023548193, 0.5708152]",2,"[0.92046475, 0.013427033, 0.066108234]",0,"[0.8672242, 0.05817309, 0.074602716]",0
33,tt0092564,the script was never approved by the department of defense.,"[0.327227, 0.647288, 0.025485003]",1,"[0.5097013, 0.3996592, 0.09063942]",0,"[0.6109549, 0.21750292, 0.17154226]",0,"[0.5279167, 0.37176666, 0.100316614]",0,"[0.7247232, 0.23470862, 0.04056815]",0,"[0.42954993, 0.547086, 0.023364114]",1
34,tt0028578,navy granted access to the naval academy grounds and midshipmen as background for typical service academy film.,"[0.0977601, 0.007128404, 0.8951115]",2,"[0.40398866, 0.028513215, 0.56749815]",2,"[0.31897572, 0.039261993, 0.6417623]",2,"[0.012543612, 0.0018109077, 0.9856455]",2,"[0.9059777, 0.015914155, 0.07810813]",0,"[0.093462266, 0.007048842, 0.89948887]",2
35,tt0047835,"navy provided full cooperation. not really about annapolis, but about carrier warfare during the korean war. a few scenes take place at annapolis and some during flight school at pensacola.","[0.85258055, 0.025560023, 0.121859424]",0,"[0.8984556, 0.04150668, 0.060037613]",0,"[0.84955466, 0.046843585, 0.10360177]",0,"[0.095109105, 0.0063263704, 0.8985645]",2,"[0.9879665, 0.0048305904, 0.0072029107]",0,"[0.9299034, 0.050625093, 0.019471517]",0
36,tt0168786,"after the navy worked on script negotiations for months, mainly on character issues such as excessive profanity, the formal request came in. filming assistance consisted of filming for several days in port and at sea second unit on an amphibious ship homeported in san diego, ca, and also filming at naval station, naval air station, and balboa naval hospital for several days at each location, all in the san diego area.","[0.72642756, 0.26232556, 0.01124694]",0,"[0.45715237, 0.53271145, 0.010136175]",1,"[0.63944083, 0.31189153, 0.048667632]",0,"[0.7439744, 0.13137297, 0.12465264]",0,"[0.8328776, 0.15631776, 0.01080467]",0,"[0.7208537, 0.26789096, 0.011255382]",0
37,tt0062673,typical army support for world war ii story set infamous assault.,"[0.14953612, 0.008756286, 0.84170765]",2,"[0.22762918, 0.012299656, 0.7600712]",2,"[0.6363527, 0.054900628, 0.30874664]",0,"[0.5468715, 0.03279394, 0.42033464]",0,"[0.6101889, 0.029820887, 0.35999027]",0,"[0.6785857, 0.04104509, 0.28036922]",0
38,tt0078788,"coppola came into pentagon with script which he said had no ending yet but wanted help. since script called for termination of one officer by another, army always refused to consider assistance. despite subseouent efforts, dod did not answer telegram to president carter which marked end of communications on film. original dod file has disappeared. entire file was copied and now at georgetown university library.","[0.030041808, 0.9624107, 0.0075474773]",1,"[0.008757604, 0.9875366, 0.003705841]",1,"[0.21782532, 0.7586277, 0.023546988]",1,"[0.15288515, 0.829958, 0.017156813]",1,"[0.5342969, 0.4531762, 0.012526973]",0,"[0.20369144, 0.7859769, 0.010331698]",1
39,tt0112384,"requested use of navy ship, etc, to reenact capsule recovery at end of mission. entirely accurate and positive depictions all around.","[0.003521342, 0.0017037445, 0.99477494]",2,"[0.013300082, 0.008869542, 0.97783035]",2,"[0.0043741707, 0.002150986, 0.9934749]",2,"[0.0018016458, 0.0010848629, 0.99711347]",2,"[0.018372802, 0.012436169, 0.969191]",2,"[0.003169266, 0.0015939437, 0.9952368]",2
40,tt0120591,"production company accommodated concerns about depiction of jcs, chairman and military astronauts. approved use of usaf locations, helicopter.","[0.055546995, 0.011747464, 0.9327055]",2,"[0.118140735, 0.022966791, 0.8588925]",2,"[0.084146336, 0.025769457, 0.89008427]",2,"[0.04624034, 0.016609443, 0.93715024]",2,"[0.76113445, 0.031062804, 0.20780274]",0,"[0.060990866, 0.0141843185, 0.92482483]",2
41,tt0054636,army provided men and equipment for world war ii story,"[0.0032924244, 0.0011369713, 0.9955706]",2,"[0.0034293914, 0.0012079232, 0.9953627]",2,"[0.08716093, 0.011521064, 0.901318]",2,"[0.0038988404, 0.0012072218, 0.9948939]",2,"[0.35633573, 0.015952911, 0.62771136]",2,"[0.08850745, 0.01244794, 0.89904463]",2
42,tt0118261,air force and army gave full cooperation to story of asteroid hitting earth,"[0.0018177491, 0.001027331, 0.99715495]",2,"[0.0026392622, 0.0011691913, 0.99619156]",2,"[0.0025420731, 0.0011655155, 0.9962924]",2,"[0.002280854, 0.0011115358, 0.99660766]",2,"[0.00565189, 0.0020404807, 0.9923076]",2,"[0.0073986934, 0.0018330244, 0.99076825]",2
43,tt0042209,dean martin jerry lewis comedy set in peacetime army,"[0.56813824, 0.05410934, 0.37775242]",0,"[0.23115087, 0.0153277, 0.75352144]",2,"[0.55891365, 0.13945363, 0.30163273]",0,"[0.5212485, 0.12249009, 0.35626137]",0,"[0.5814308, 0.018806648, 0.3997626]",0,"[0.71293473, 0.11729547, 0.1697698]",0
44,tt0048966,attack! was the first major military movie in the post world war ii period which did not receive army cooperation because of the story line in which an enlisted man killed his commander due to the officer's incompetence.,"[0.10512227, 0.79215074, 0.102727026]",1,"[0.11142927, 0.8133421, 0.075228624]",1,"[0.1889385, 0.7313557, 0.07970579]",1,"[0.10644813, 0.876062, 0.017489886]",1,"[0.65042394, 0.31947038, 0.0301057]",0,"[0.09307257, 0.89193946, 0.014988023]",1
45,tt0048971,"full navy cooperation portraying amphibious landings, use of ships and landing craft","[0.0012623038, 0.00095134415, 0.99778634]",2,"[0.0018898937, 0.001266302, 0.9968438]",2,"[0.0028578986, 0.0013316808, 0.99581045]",2,"[0.000594926, 0.0008879817, 0.9985171]",2,"[0.0017400826, 0.0010925609, 0.9971674]",2,"[0.0021823717, 0.0012391855, 0.99657845]",2
46,tt0090680,it was an accurate and positive portrayal of the marine corps and in the best interest of the marines to cooperate.,"[0.046002638, 0.020314164, 0.9336832]",2,"[0.26523834, 0.12748258, 0.60727906]",2,"[0.1763089, 0.10699414, 0.716697]",2,"[0.020030256, 0.01419184, 0.96577793]",2,"[0.61807793, 0.03806387, 0.34385818]",0,"[0.0027992174, 0.0018693458, 0.99533147]",2
47,tt0037522,"as title suggests, a story about the army's return to the philippines. john wayne action movie. use of men and equipment for combat sequences","[0.8730538, 0.030476611, 0.09646964]",0,"[0.946147, 0.020185584, 0.03366741]",0,"[0.8139596, 0.13396159, 0.05207888]",0,"[0.892387, 0.051060606, 0.056552447]",0,"[0.95832276, 0.008738352, 0.03293889]",0,"[0.8859988, 0.03238222, 0.08161903]",0
48,tt0050160,"full air force cooperation on story of the development of the ejection system for b. men, planes, locales","[0.58249116, 0.01541405, 0.4020948]",0,"[0.84733707, 0.034369204, 0.11829374]",0,"[0.00090452324, 0.0009563971, 0.9981391]",2,"[0.047844987, 0.008933326, 0.9432217]",2,"[0.89709675, 0.025771553, 0.077131666]",0,"[0.43781808, 0.02968195, 0.53249997]",2
49,tt0046746,story about american prisoners of war during the korean war. limited use of men and equipment,"[0.016064966, 0.9766391, 0.007295999]",1,"[0.014499069, 0.97981447, 0.0056864577]",1,"[0.025777837, 0.96022123, 0.01400096]",1,"[0.014452144, 0.9801129, 0.0054349266]",1,"[0.80505866, 0.17593348, 0.019007903]",0,"[0.024263712, 0.96271396, 0.013022307]",1
50,tt0062704,convoluted science fiction story about a flying saucer. limited air force cooperation,"[0.03947517, 0.8897029, 0.070821926]",1,"[0.051792458, 0.90950495, 0.03870262]",1,"[0.021954736, 0.88495547, 0.09308983]",1,"[0.036291298, 0.88124675, 0.08246193]",1,"[0.3979475, 0.5018558, 0.10019672]",1,"[0.04568045, 0.85078377, 0.1035358]",1
51,tt0094712,"initial script received air force approval 5mar84. air force felt script was an excellentportrayal of a true incident that occurred in vietnam. however, the project went into limbo until 1987, the air force approved a new script, once some changes were made. assistance was provided in the philippines, but two objectional scenes remained in the film, including the destruction of a vietnamese village. accordingly, dod declined screen credit.","[0.3201713, 0.6120202, 0.06780851]",1,"[0.22852825, 0.7450325, 0.026439276]",1,"[0.023519395, 0.005960498, 0.9705201]",2,"[0.40104464, 0.40240315, 0.19655219]",1,"[0.6951632, 0.2820186, 0.02281823]",0,"[0.34048468, 0.6061843, 0.053331044]",1
52,tt0035664,"classic army story about fall of bataan. group of american soldiers fight rear guard action, dying one by one story filmed at studio and obtained limited assistance in the form of information. army approved completed production","[0.49657118, 0.17464732, 0.32878152]",0,"[0.00292219, 0.0018011726, 0.9952767]",2,"[0.581866, 0.22031224, 0.1978218]",0,"[0.4944118, 0.24813494, 0.2574533]",0,"[0.7570528, 0.13714851, 0.10579871]",0,"[0.65068114, 0.23532057, 0.11399832]",0
53,tt0118688,army allowed use of wind tunnel at fort bragg for briff sequence,"[0.26086277, 0.014758771, 0.7243785]",2,"[0.12296866, 0.0081831515, 0.8688482]",2,"[0.47341174, 0.03347415, 0.4931141]",2,"[0.21469882, 0.014598164, 0.770703]",2,"[0.77335036, 0.040233083, 0.18641654]",0,"[0.6752114, 0.04344118, 0.28134745]",0
54,tt0054671,"full army cooperation on world war ii film, men and equipment","[0.0010253241, 0.0008942848, 0.9980804]",2,"[0.0009032823, 0.00091724447, 0.9981795]",2,"[0.0032729432, 0.0014510328, 0.99527603]",2,"[0.00085660844, 0.00091289816, 0.9982305]",2,"[0.0029903434, 0.0010313696, 0.9959783]",2,"[0.0021736803, 0.0012078298, 0.9966185]",2
55,tt0061387,"navy provided limited assistance on this science fiction film, use of ship and locale","[0.22311254, 0.7407885, 0.03609895]",1,"[0.23838036, 0.72120035, 0.040419307]",1,"[0.45412377, 0.42426223, 0.121613964]",0,"[0.22400735, 0.6758879, 0.10010475]",1,"[0.71535784, 0.2597129, 0.024929289]",0,"[0.31983683, 0.6173816, 0.062781595]",1
56,tt0045544,"approved assistance, date approximate","[0.21322267, 0.012184961, 0.7745924]",2,"[0.4114762, 0.04502632, 0.5434975]",2,"[0.28527534, 0.037248515, 0.67747617]",2,"[0.13076292, 0.012365537, 0.85687155]",2,"[0.95936567, 0.01512414, 0.025510212]",0,"[0.27871335, 0.019830527, 0.7014561]",2
57,tt0047860,"this is the quintessential marine film of the post war period. john wayne may have been the marine for most americans, but some former marines say battle cry better represented their experiences in boot camp and in the pacific. received full cooperation at the recruit depot in san diego, camp pendleton, and during a training exercise on vieques island puerto rico.","[0.19740999, 0.07105367, 0.7315364]",2,"[0.4649878, 0.16914636, 0.36586586]",0,"[0.3342986, 0.18389456, 0.48180684]",2,"[0.2446399, 0.08751127, 0.6678488]",2,"[0.5577315, 0.016398026, 0.42587045]",0,"[0.121550746, 0.04051903, 0.8379302]",2
58,tt0050171,"story of dean hess, jet fighter pilot in korea turned minister. air force gave full cooperation in form of planes, men, and locales","[0.53363687, 0.012364344, 0.45399883]",0,"[0.40377453, 0.015657408, 0.5805681]",2,"[0.0028121201, 0.0011483149, 0.99603957]",2,"[0.010731775, 0.0018375195, 0.9874307]",2,"[0.989101, 0.0020207863, 0.008878195]",0,"[0.8741445, 0.01816368, 0.10769181]",0
59,tt1217613,"approved filming for approximately one week at barksdale air force base, la. most of the filming took place on the flight line with static air force and marine  corps fixed wing and rotary wing aircraft, during the august october period. a static army m1 main battle tank was also filmed at barksdale. during this time frame, the production company also filmed flying and static maring corp helicopters and cv ospreys at a civilian airport in shreveport, la.","[0.8184387, 0.17327885, 0.008282473]",0,"[0.78880966, 0.19327347, 0.01791686]",0,"[0.85870874, 0.1262544, 0.015036898]",0,"[0.6722738, 0.3121931, 0.015533099]",0,"[0.89841974, 0.09729252, 0.0042876843]",0,"[0.91162854, 0.08089839, 0.0074730217]",0
60,tt0048989,"slightly fictionalized story of the attack on the uss franklin, close to a docu drama and documentary of life on a world war ii carrier. navy provided use of carrier and combat footage.","[0.927244, 0.05445014, 0.018305846]",0,"[0.89516056, 0.090648316, 0.0141911665]",0,"[0.91298145, 0.0568246, 0.030193942]",0,"[0.8923138, 0.02839557, 0.07929063]",0,"[0.9716756, 0.01417964, 0.014144808]",0,"[0.92500484, 0.051591873, 0.023403268]",0
61,tt0047861,"unexceptional story of army helicopters in korea war. use of men, equipment, helicopters","[0.26655433, 0.6031753, 0.1302704]",1,"[0.26533264, 0.5685678, 0.16609958]",1,"[0.23956627, 0.658708, 0.1017258]",1,"[0.15007201, 0.7970472, 0.052880853]",1,"[0.9014903, 0.059645243, 0.038864516]",0,"[0.32958388, 0.58374155, 0.08667456]",1
62,tt0044398,korean war film that received cooperation,"[0.5383052, 0.026037866, 0.43565696]",0,"[0.8204577, 0.05918017, 0.12036213]",0,"[0.60619307, 0.05811974, 0.3356872]",0,"[0.61859715, 0.044096075, 0.33730683]",0,"[0.8999248, 0.011059065, 0.089016125]",0,"[0.7396557, 0.058105312, 0.20223907]",0
63,tt0041163,"classic army picture set in the battle of the bulge. focus on army unit trying to hold the line. except for very small amount of combat footage and one outdoor scene, movie shot entirely on mgm set. army provided some soldiers to serve as extras and train actors. considered by some to be one of best world war ii films. first post war army movie. filmed entirely on an mgm sound stage although set in winter during the battle of the bulge. army provided active duty soldiers as extras","[0.71531624, 0.12424874, 0.16043504]",0,"[0.1779248, 0.052880194, 0.769195]",2,"[0.7259447, 0.19457567, 0.07947962]",0,"[0.66382444, 0.228438, 0.10773755]",0,"[0.85414696, 0.053490143, 0.09236287]",0,"[0.8035581, 0.1005517, 0.09589011]",0
