Title,IMDB_ID,Subtitle,Status,Media Type,Remarks,Year,genre,runtime,director,plot,award,imdb_rating,release_date,directors
A MORAL ISSUE,Never Made,,DEN,FILM,"THERE ARE NO RECORDS OF DOD EVER APPROVING THE FILM. THE FILM WAS NEVER PRODUCED, SOEVIDENTALLY IF ANY RESPONSE WAS GIVEN, IT WAS NO",,,,,,,,,
ABOVE AND BEYOND,tt0044324,,APP,FILM,"STORY OF PAUL TIBBETTS AND THE ATOMIC BOMB MISSION OVER HIROSHIMA. FULL COOPERATION IN THE FORM OF B-295, MEN, AND LOCATIONS",1952,"Action, Biography, Drama, War",122 min,"Melvin Frank, Norman Panama","The story of Colonel Paul Tibbets, the pilot of the Enola Gay, the bomber that dropped the atomic bomb on Hiroshima. Although unaware of the full potential of this new weapon, he knows that it is capable of doing tremendously more damage than any other weapon used before, and that the death toll resulting from it will be enormous. He is reluctant to be the person who will end so many lives, but if using it may bring an end to the war, then not doing so may result in even more lives being lost in continued ground assaults as the fighting goes on. At the same time, the intense secrecy surrounding this mission leaves him with no one he can express his thoughts and doubts to, not even his wife. As time goes on, the pressure upon him only increase.",Nominated for 2 Oscars. Another 1 win & 2 nominations.,6.9,02 Jan 1953,"nm0291035,nm0659085"
ABOVE THE CLOUDS,tt0024811,,APP,FILM,"NAVY PROVIDED USE OF BATTLESHIPS, SUBMARINES, AND A DIRIGBILE AS BACKGROUND FOR PEACETIME STORY",1933,"Action, Adventure, Drama, Romance",68 min,Roy William Neill,"Another story of the newsreel cameramen and the dog-eat-dog competitive world they inhabit. This one features ""Scoop"" Adams (Robert Armstrong), as a hard-drinking cameraman, whose ...",,6.2,13 Dec 1933,nm0624756
ACE OF ACES,tt0023737,,APP,FILM,ARMY AIR CORPS PROVIDED PLANES TO STAGE AERIAL COMBAT SEQUENCES FOR WORLD WAR I FILM SET IN FRANCE,1933,"Drama, War",76 min,J. Walter Ruben,"A sculptor who doesn't want to have any part of World War I is shamed by his girlfriend into joining the army. He becomes a fighter pilot, and undergoes a complete personality change.",,6.3,20 Oct 1933,nm0747844
ACTION IN THE NORTH ATLANTIC,tt0035608,,APP,FILM,NAVY AND MERCHANT MARINES PROVIDED USE OF SHIP AND MEN FOR STORY OF NAVY GUNNERS ABOARD A MERCHANT SHIP IN THE NORTH ATLANTIC DURING WORLD WAR II.,1943,"Action, Drama, War",126 min,"Lloyd Bacon, Byron Haskin, Raoul Walsh",Lieutenant Joe Rossi is 1st Officer on a Liberty Ship in a great convoy bound from Halifax to Murmansk. After German subs crushed the convoy his ship loses the convoy and is heading alone to Murmansk. In spite of attacks by German planes and subs he get the ship safely to Murmansk...,,7.0,12 Jun 1943,"nm0909825,nm0045800,nm0005738"
ADVENTURES OF MARY-KATE & ASHLEY,tt0283856,THE CASE OF THE UNITED STATES NAVY ADVENTURE,APP,OTH,"PRODUCTION COMPANY REQUESTED USE OF NAVY INSTALLATIONS AND SHIP IN PEARL HARBOR, HI. AFTER SUCCESSFUL NEGOTIATIONS TO IMPROVE ACCURACY AND POSITIVE ASPECT OF SCRIPT, OK'D ASSISTANCE.",1997,Short,30 min,Michael Kruzan,"Travel with the pint-sized supersleuths, Mary-Kate and Ashley Olsen (""Full House""), and their sidekick dog, Clue, to the Edge of the World, where a fleet of UFOs have been flying over Earth every 93 minutes.",,5.2,01 Nov 1997,nm0472947
AERIAL GUNNER,tt0035614,,APP,FILM,ARMY AIR CORPS PROVIDED ACCESS TO THE HARLINGEN AERIAL GUNNERY SCHOOL FOR FILMMAKERS TO SHOW HOW IT TRAINED BOMBER GUNNERS AND IT ALSO PROVIDED PLANES TO STAGE MISSION AGAINST JAPANESE IN SOUTH PACIFIC.,1943,"Drama, Romance, War",78 min,William H. Pine,Old rivals are pitted against each other in basic training and fight for the same woman.,,5.6,20 Mar 1943,nm0683993
AFTERBURN: THE JANET HARDUVEL STORY,tt0103626,,DEN,TV,THE DEPARTMENT OF THE AIR FORCE AND DOD DECIDED NOT TO SUPPORT THE FILM BECAUSE OF INACCURACIES AND PREMISES THAT SERVICE COVERED UP REASONS FOR CRASH OF F-16 IN KOREA. HBO CABLE MOVIE,1992,Drama,103 min,Robert Markowitz,"Based on a true story, one woman takes on the U.S. military and General Dynamics; maker of the F-16, thought to be the very best tactical fighter in the world. Air Force Captain Theodore T. Harduvel was one of the best F-16 pilots the U.S. had to offer. After much digging, Janet Harduvel discovers a joint military and General Dynamic cover-up. She proves to be unwavering in her search for the truth to clear his name.",Won 1 Golden Globe. Another 1 win & 9 nominations.,6.2,30 May 1992,nm0548740
AFTERMATH,tt0099314,,APP,TV,THE DEPARTMENT OF THE AIR FORCE AND THE NATIONAL GUARD BUREAU APPROVED LIMITED ASSISTANCE. IN THE BEST INTEREST OF THE DEPARTMENT.,1990,"Drama, Mystery, Thriller",120 min,Philip Saville,"When a passenger plane crashes after a bomb scare, there are many unanswered questions, which can only be attributed to ""pilot error"". The pilot's wife, Diane Halstead, is convinced her husband could never have caused the disaster, but nobody will listen to her.",,5.3,18 Nov 1990,nm0767697
AIR CADET,tt0043270,,APP,FILM,"AIR FORCE CADETS LEARNING TO BECOME FIGHTER PILOTS IN WORLD WAR II. FULL COOPERATION OF PLANES, EQUIPMENT, AND LOCALES",1951,"Biography, Drama, War",94 min,Joseph Pevney,A group of cadets have assorted problems at the U.S. Air Force Pilot Training Academy.,,5.9,29 Jun 1951,nm0678928
AIR DEVILS,tt0029847,,APP,FILM,MARINES PROVIDED ROUTINE ASSISTANCE IN THE FORM OF MEN AND PLANES FOR TYPICAL STORY OF FLIERS PURSUING THE SAME GIRL DURING PEACETIME,1938,"Action, Adventure, Romance",58 min,John Rawlins,Two daredevil pilots go after the same girl.,,4.9,13 May 1938,nm0712639
AIR FORCE,tt0035616,,APP,FILM,"ARMY AIR CORPS PROVIDED FULL ASSISTANCE AT AN AIR BASE NEAR TAMPA FOR FILM ABOUT THE MARY ANNE ARRIVED IN PEARL HARBOR ON DECEMBER 7. HAP ARNOLD PROVIDED THE TECHNICAL ADVISOR WITH A CARD HE SHOWED WHEN HE NEEDED TO USE BOMBERS AND FIGHTERS. FILM MADE IN FLORIDA TO AVOID HAVING PLANES WITH JAPANESE INSIGNIA FLYING OVER SOUTHERN CALIFORNA. THE CLIMACTIC BATTLE, OFTEN DESCRIBED AS MIDWAY, WAS FILMED AT THE WARNER BROTHERS ""SEA"" USING MINIATURES IN FEBRUARY, 1942",1943,"Action, Drama, History, War",124 min,Howard Hawks,"On December 6, 1941 nine B-17 bomber set off on a flight from San Francisco to Hawaii. One of the bombers, the Mary Ann, is commanded by 'Irish' Quincannon. The bombardier, Tommy McMartin, has a sister living in Hawaii and the co-pilot, Bill Williams, is sweet on her. The men are all highly professional with the exception of aerial gunner Joe Winocki, a bitter man who has every intention of leaving the army air corps. They arrive at Hickam Field on the morning of December 7, just as the Japanese are attacking Pearl Harbor and other military facilities. All of the men prepare to face the enemy, including Winocki whose attitude changes quickly. The bomber and its crew will participate in many missions but not all will survive.",Won 1 Oscar. Another 1 win & 3 nominations.,7.0,20 Mar 1943,nm0001328
AIR FORCE ONE,tt0118571,,APP,FILM,AIR FORCE PROVIDED FULL COOPERATION FOR FILM IN WHICH RUSSIAN TERRORISTS KIDNAP AIR FORCE ONE AND HOLD THE PRESIDENT HOSTAGE. USE OF FIGHTERS AND TRANSPORTS FOR AMBIANCE,1997,"Action, Drama, Thriller",124 min,Wolfgang Petersen,"The President of the USA goes to Moscow and gives a stirring speech outlining the USA's new ""Zero-tolerance"" policy with respect to terrorism. On the flight home, terrorists take over Air Force One (the President's official plane) and take the passengers (including his wife and daughter) hostage. The terrorists plan to execute one hostage every half-hour unless/until their demands are met. However, the President is a former Medal of Honor winner, so the terrorists may be in for a surprise...",Nominated for 2 Oscars. Another 7 wins & 11 nominations.,6.5,25 Jul 1997,nm0000583
AIR WOLF ,tt0507183,ESCAPE,DEN,TV,AIR FORCE ADVISED PRODUCTION THAT ASSISTANCE WOULD BE INAPPROPRIATE. BASICALLY STORY DEALT WITH COMMERCIAL AIRLINER. REQUEST FOR ASSISTANCE WAS DENIED. ,1987,"Action, Adventure, Sci-Fi, Thriller",47 min,Patrick Corbett,"While returning from the Soviet Union with classified document, Jo and a gymnast who has defected are intercepted by Russians.",,5.7,30 Jan 1987,nm0179189
AIRPORT 75,tt0071110,,APP,FILM,"AIR FORCE PROVIDED USF OF A HELICOPTER IN SEQUENCE WHERE CHARLTON HESTON IS DROPPED INTO DAMAGED 747, BUT ONLY AFTER THE SERVICE ASCERTAINED THAT ITS HELICOPTER COULD ACTUALLY MATCH THE SPEED OF A 747",1974,"Action, Drama, Thriller",107 min,Jack Smight,"When the pilot of a small aircraft has a heart attack and crashes his plane into the cockpit of a Boeing 747, several members of the flight crew are killed and the pilot is blinded. Miraculously, the 747 stays in the air on auto-pilot with flight attendant Nancy Prior at the controls. Ground controllers, including her boyfriend Alan Murdock, try to teach her the basics but they soon realize they will have to get a trained pilot into the cockpit. Their first attempt fails and Murdock realizes he will have to do it. Meanwhile, various passengers have their own problems including a young girl who is destined to a life saving operation.",,5.7,18 Oct 1974,nm0806915
AIRPORT 77,tt0075648,,APP,FILM,NAVY PROVIDED FULL COOPERATION IN THE FORM OF A SEARCH AND RESCUE UNIT AND UNDERWATER RESCUE VEHICLES FOR A TYPICAL DISASTER MOVIE ABOUT THE CRASH OF A PRIVATE 747 CARRYING PRICELESS ART TREASURES. THE SERVICE FELT THE FILM HIGHLIGHTED ITS UNDERWATER RESCUE CAPABILITIES.,1977,"Action, Drama, Thriller",114 min,Jerry Jameson,Mr. Phillip Stevens is flying in a load of VIPs to the grand opening of his art collection when a trio of hijackers knock out the passengers with gas and try to steal the priceless cargo of art treasures. But everything goes wrong for the hijackers when the 747 crashes in the Bermuda triangle. While the passengers remain alive in the shallow water a daring rescue operation is planned to bring the plane up without breaking it in two.,,5.8,11 Mar 1977,nm0417054
"AIRPOWER VIETNAM, THE REAP TOP GUN",,,APP,TV,"THE REQUEST FOR FILMING ON LUKE AFB WAS GRANTED, AS LONG AS THE PRODUCTION WAS AWARE OF THE REQUIREMENTS FOR HOLD HARMLESS AGREEMENTS AND APPROPRIATE INSURANCE.",,,,,,,,,
ALL HANDS ON DECK,tt0054613,,APP,FILM,NAVY PROVIDED USE OF LOCATIONS AND A SHIP FOR THIS COMEDY SET IN WORLD WAR II,1961,"Comedy, Musical",100 min,Norman Taurog,"Story of a Navy ship with a captain obsessed with catching a fish, a singing executive officer wanting to get married, and an Indian with a turkey as a pet. With Pat Boone as the hopeful suitor, Barbara Eden as his girl, and Buddy Hackett assigned to Boone to stay out of the captain's way.",,5.7,30 Mar 1961,nm0851537
ALL THE UNSUNG HEROES,,,APP,TV,DOD APPROVED FOR STOCK FOOTAGE. THIS VIDEO WAS GOOD RECRUITMENT FOR THE VIETNAM-AMERICAN FIGHTING FORCE AND HISTORICALLY ACCURATE,1991.0,,,,,,,,
ALL THE YOUNG MEN,tt0053583,,APP,FILM,MARINES PROVIDED MEN AND EQUIPMENT FOR COMBAT SEQUENCES IN MOVIE SET IN KOREAN WAR,1960,"Action, Drama, War",87 min,Hall Bartlett,"During the Korean War, the lieutenant in charge of a Marine rifle platoon is killed in battle. Before he dies, he places the platoon's sergeant, who's black, in charge. The sergeant figures on having trouble with two men in his platoon: a private who has much more combat experience than he does, and a racist Southerner who doesn't like blacks in the first place and has no intention of taking orders from one.",,6.3,26 Aug 1960,nm0058826
ALL-STAR SALUTE TO OUR TROOPS,tt1193546,TRIBUTE TO OUR TROOPS,APP,TV,"THE DEPARTMENT OF DEFENSE APPROVED THE PROJECT FINDING IT TO BE A GOOD THING FOR THE TROOPS. VERY POSITIVE PROJECT THE DEPARTMENT ASSISTED WITH INFORMATION AND USING ANDREW'S AFB AS RETURNING DESTINATION,",1991,"Comedy, Music",120 min,Dwight Hemion,Gala homecoming celebration for the troops returning from the Persian Gulf War in 1991.,,,03 Apr 1991,nm0376033
ALOHA,tt1243974,,DEN,FILM,APPROVED ACCESS TO FORMER HOUSING AREA AT JOINT BASE PEARL HARBOR-HICKAM AFB,2015,"Comedy, Drama, Romance",105 min,Cameron Crowe,"A celebrated military contractor returns to the site of his greatest career triumphs - the US Space program in Honolulu, Hawaii - and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.",2 wins & 7 nominations.,5.4,29 May 2015,nm0001081
AMAZING GRACE AND CHUCK,tt0092545,,DEN,FILM,"STORY DOES NOT ACCURATELY PORTRAY U.S. EFFORTS TO MAINTAIN NUCLEAR DETERRENCE, TO SEEK ARMS REDUCTIONS, AND TO KEEP THE PEACE. ASSISTANCE DENIED.",1987,"Drama, Sport",114 min,Mike Newell,"Chuck Murdock is an all American kid living in a sleepy town in Montana. He is the top pitcher of the little league team as well. After taking a tour of a nuclear silo, Chuck decides to quit playing little league until nuclear weapons are disarmed. Boston Celtic Amazing Grace Smith hears about Chuck's exploits, and decides to do the same thing. Amazing then moves to the young boy's town to live. More athletes follow suit as well. The town begins to hate Chuck and his family, and this makes Chuck's father angry. But can one kid's message make the world listen?",3 nominations.,6.0,24 Oct 1987,nm0001565
AMBUSH BAY,tt0060098,,APP,FILM,MARINES PROVIDED TYPICAL ASSISTANCE OF MEN AND EQUIPMENT FOR WORLD WAR II MOVIE,1966,"Drama, War",109 min,Ron Winston,"With General MacArthur poised to strike against the Japanese defenses in the Philippines, a group of nine Marines are given a secret mission.They have to secretly land on a Philippine island in order to contact a spy who has information vital to General MacArthur's planned invasion.When their captain is killed, sergeant Corey takes charge of the group.The patrol fights its way through the Japanese-infested jungle, and only five Marines remain when they finally reach their destination.The group's radio has been destroyed, and they are unable to communicate with their base.It means that even if they find their spy and retrieve the vital intelligence they will be unable to relay this information to General MacArthur's headquarters.The Japanese, already alerted to commando's presence in the area are closing in.The Marines are running out of time.",,5.5,14 Sep 1966,nm0935636
AMELIA EARHART: THE FINAL FLIGHT,tt0109096,,OTH,TV,PRODUCER REQUESTED USE OF PRESIDIO'S HAMILTON AIRFIELD FOR REENACTMENT OF A LANDING IN THIS DOCUDRAMA. NOT AVAILABLE DUE TO TRANSITION TO PRIVATE SECTOR. NEGOTIATED AGREEMENTS REGARDING SCRIPT (MINOR) BUT PRODUCER ULTIMATELY DECIDED TO USE CIVILIAN FACILITIES.,1994,"Adventure, Biography, Drama",95 min,Yves Simoneau,"In 1928, Amelia Earhart gains fame by undertaking a transatlantic flight as a passenger. In 1937, she and her navigator Fred Noonan undertake her longest flight: a round-the-world attempt. However, the plane disappears in the process.",Nominated for 1 Golden Globe. Another 1 win & 7 nominations.,5.9,12 Jun 1994,nm0800533
AMERICA,tt0014672,,APP,FILM,"FILM WAS D.W. GRIFFITH'S ATTEMPT TO DO FOR THE AMERICAN REVOLUTION WHAT BIRTH OF A NATION DID FOR THE CIVIL WAR AND RECONSTRUCTION. ARMY PROVIDED A CALVARY UNIT, MEN, AND SUPPORT EQUIPMENT ON THEORY THAT ITS OFFICERS COULD STUDY TACTICS USED TO FIGHT THE REVOLUTION.",1924,"Drama, History, War",141 min,D.W. Griffith,"The first half of the film portrays the struggle of the under-armed, under-manned colonists against the British Redcoats at Lexington, Bunker Hill and Valley Forge. Other landmarks of the American Revolution shown include the Boston Tea Party, Paul Revere's midnight ride and Patrick Henry's (played by Frank McGlyyn Jr. and not played by his father Frank McGlynn Sr) inflammatory speeches to the VIrginia House of Burgesses. The second half dwells on the bloody Indian War of Mohawk Valley. THe parts are tied together by the troubled romance between a young patriot, Nathan Holden (Neal Hamilton)and Nancy Montague (Carol Dempster), the daughter of a Tory Judge.",,6.4,21 Feb 1924,nm0000428
"AMERICA, YOU'RE TOO YOUNG TO DIE",tt12220558,,APP,TV,LIMITED ASSISTANCE WAS APPROVED. IT WAS NO COST TO THE GOVERNMENT.,1986,"Short, Documentary",,David Nelson,An historical and patriotic film focusing on the conservative moral and religious view of American life. The documentary was based on the original stage production by Life Ministries. It ...,,,,nm0625287
AMERICAN GUERRILLA IN THE PHILIPPINES,tt0042195,,LIM,FILM,NAVY PROVIDED A SHIP FOR A BRIEF SEQUENCE AT THE END OF THE FILM WHEN HERO IS RESCUED FROM HIDING PLACE.,1950,"Drama, War",105 min,Fritz Lang,"In the spring of 1942, following the blockade-run that took General Douglas MacArthur and his staff from the Philippines to the safety of Australia, the survivors of a bombed-and-sunk PT Boat make their way to shore. The skipper tells his men they have top priority passes if they can make their way to Del Monte airfield 200 miles away, and advises them to split up into pairs. Ensign Chuck Palmer and crewman Jim Mitchell finally reach Tacloban on the island of Leyte. In an American mission school, Palmer meets Jeanne Martinez, who is urgently trying to see the officer in charge with a request for help for a relative, and he also learns that the Japanese have captured the airfield. Palmer tries to make Australia by a boat that sinks in a tropical storm and has to swim for shore. All through 1942, Palmer and the other survivors dodge enemy patrols while living off of the land.",,6.1,08 Nov 1950,nm0000485
"AMERICAN PRESIDENT, THE",tt0112346,,APP,FILM,"PRODUCTION COMPANY REQUESTED MARINE MUSICIANS TO PORTRAY MARINE BAND, TECHNICAL ASSISTANCE, EXTRAS, TO ENACT WHITE HOUSE SOCIAL FUNCTIONS AND TO ASSURE THAT OTHER MILITARY PORTRAYALS ARE REASONABLY POSITIVE AND ACCURATE.",1995,"Comedy, Drama, Romance",114 min,Rob Reiner,"Andrew Shepherd is approaching the end of his first term as President of the United States. He's a widower with a young daughter and has proved to be popular with the public. His election seems assured. That is until he meets Sydney Ellen Wade, a paid political activist working for an environmental lobby group. He's immediately smitten with her and after several amusing attempts, they finally manage to go on a date (which happens to be a State dinner for the visiting President of France). His relationship with Wade opens the door for his prime political opponent, Senator Bob Rumson, to launch an attack on the President's character, something he could not do in the previous election as Shepherd's wife had only recently died.",Nominated for 1 Oscar. Another 1 win & 9 nominations.,6.8,17 Nov 1995,nm0001661
AMERICANIZATION OF EMILY,tt0057840,,OTH,FILM,"FIRST AMERICAN MOVIE TO SHOW A MILITARY MAN AS A PROFESSED COWARD AND PROUD OF IT. JAMES GARNER IS A ""GO-FER' FOR HIS ADMIRAL IN THE WEEKS BEFORE D-DAY. THE ADMIRAL DECIDES THE FIRST DEAD AMERICAN ON OMAHA BEACH SHOULD BE A NAVY MAN. GARNER ULTIMATELY BECOMES A HERO AND EMILY APPROVES, THUS THE TITLE. NO RECORD OF COMPANY SEEKING COOPERATION GIVEN THE PORTRAYAL. HOWEVER, FILM IS IMPORTANT SINCE IT CONTAINED ANTI-WAR ARGUMENTS AS VIETNAM WAS HEATING UP.",1964,"Comedy, Drama, Romance, War",115 min,Arthur Hiller,"During the build-up to D-Day in 1944, the British found their island hosting many thousands of American soldiers who were ""oversexed, overpaid, and over here"". That's Charlie Madison exactly; he knows all the angles to make life as smooth and risk-free as possible for himself. But things become complicated when he falls for an English woman, and his commanding officer's nervous breakdown leads to Charlie being sent on a senseless and dangerous mission.",Nominated for 2 Oscars. Another 4 nominations.,7.3,27 Oct 1964,nm0002137
AN OFFICER AND A GENTLEMAN,tt0084434,,DEN,FILM,"THE NAVY DECLINED BECAUSE OF DAMAGING PORTRAYAL OF NAVY SINGLE PARENT LIFESTYLE, NEGATIVE PORTRAYAL OF WOMEN LIVING AROUND AIR STATION, AND A FIGHT BETWEEN OFFICER CANDIDATE AND DRILL INSTRUCTOR. FILMMAKERS WOULDN'T CHANGE THESE SCENES, SO ASSISTANCE BECAME IMPOSSIBLE. MARINES OFFERED TO COOPERATE, BUT PRODUCER DID NOT HAVE TIME. STILL, MARINES PROVIDED A D.I. AS TECHNICAL ADVISOR AND OFF-DUTY MARINES AS EXTRAS",1982,"Drama, Romance",124 min,Taylor Hackford,"Zack Mayo is a young man who has signed up for Navy Aviation Officer Candidate School. He is a Navy brat who has a bad attitude problem. GySgt Foley is there to train and evaluate him and will clearly find Zack wanting. Zack meets Paula, a girl who has little beyond family and must decide what it is he wants to do with his life.",Won 2 Oscars. Another 7 wins & 13 nominations.,7.0,13 Aug 1982,nm0000431
ANCHORS AWAY,tt0037514,,LIM,FILM,"NAVY PROVIDED LOCATIONS AND SHIPS AS BACKGROUND FOR END OF THE WAR SONG AND DANCE COMEDY, I.E., LEAD CHARACTERS ARE IN THE NAVY",1945,"Comedy, Fantasy, Music, Musical, Romance, War",140 min,"George Sidney, Joseph Barbera, William Hanna",A pair of sailors on leave try to help a movie extra become a singing star.,Won 1 Oscar. Another 4 nominations.,7.1,01 Aug 1945,"nm0053484,nm0796645,nm0360253"
ANGEL IN GREEN,tt0092564,,DEN,TV,THE SCRIPT WAS NEVER APPROVED BY THE DEPARTMENT OF DEFENSE.,1987,"Action, Drama",96 min,Marvin J. Chomsky,"Father Mahon and Sister Ann McKeon are missionaries on a South Pacific Island threatened by rebel forces. After a brutal attack leaves the village without a leader and Father Mahon dead, Sister Ann calls for help are answered by Captain William Wicker and his Army Special Forces Unit. They've been called in to train the islanders to defend themselves. The children think the Wicker is an ""angel in green"" - but his violent military lifestyle conflicts with Sister Ann's peaceful beliefs. But she finds herself attracted to the 'Angel In Green'.",,6.7,22 Sep 1987,nm0159007
ANGEL‘S FLIGHT,tt13891322,,APP,FILM,APPROVED BY THE DEPARTMENT AFTER BEING REVIEWED. THE DEPARTMENT FELT IT WOULD BE BENEFICIAL TO THE NAVY.,,,,,,,,,
ANNAPOLIS FAREWELL,tt0026072,,APP,FILM,NAVY GRANTED ACCESS TO THE NAVAL ACADEMY GROUNDS AND MIDSHIPMEN AS BACKGROUND FOR TYPICAL SERVICE ACADEMY FILM.,1935,Drama,75 min,Alexander Hall,"Commodore Fitzhugh, an old retired naval officer, lives at the Annapolis Naval Academy and, unhappy with the ""modern"" navy, likes to talk about his days in the ""old"" navy, especially about ...",,5.4,23 Aug 1935,nm0355284
