Title,IMDB_ID,Subtitle,Status,Media Type,Year,Remarks
ARMY WIVES,,LEAVING THE TRIBE,APP,TV,2008,"APPROVED FILMING FOR ONE DAY (MAY 5) AT CHARLESTON AIR FORCE BASE, CHARLESTON, SC. FILMING INVOLVED STATIC C-17 AND ”NOSE HANGAR"" INTERIOR AND EXTERIOR FILMING. APPROXIMATELY 70 OFF-DUTY AIR FORCE PERSONNEL AND FAMILY MEMBERS APPEARED AS (ARMY) EXTRAS TO ENACT A HOMECOMING FOR RETURNING SOLDIERS ON A MEDEVAC FLIGHT. PRODUCTION COMPANY VEHICLES (PORTRAYING ARMY VEHICLES) ALSO OPERATED ON THE RAMP AS BACKGROUND."
ARMY WIVES,,STRANGERS IN A STRANGE LAND,APP,FILM,2008,"APPROVED FILMING FOR SEVERAL HOURS IN THE BASE EXCHANGE AT CHARLESTON AIR FORCE BASE, SC, FOR A DIALOGUE SEQUENCE PORTRAYING FAMILY MEMBERS SHOPPING."
ARMY WIVES,,INCOMING,APP,TV,2009,"Approved filming in and around a static C-17 aircraft at Charleston Air Force Base on March 10, 2009. The production company also filmed previously-scheduled routine C-17 flight operations. Approximately 20 off—duty Air Force personnel were employed as extras."
ARMY WIVES,,"EPISODE 623 ""ONWARD""",APP,TV,2009,"DOD sent an email to the production company notifying it that [DOD had approved prcxluction assistance. The assistance consists of prepping and filming at Joint Base Charleston, SC, for two days beginning June 10, 2012. This is a enactment of a military deployment farewell, using a static C-17 hangar, flight line, and several hundred extras {mostly Army and Air Force personnel off-duty, and family members]."
ARMY WIVES,,THE HERO RETURNS,APP,TV,2008,"APPROVED USING A CHARLESTON AIR FORCE BASE ""AMBUS,"" DRIVER, AND VARIOUS AIR FORCE MEDICAL STAFF FOR ONE DAY, TO SIMULATE A MEDEVAC TO THE FICTIONAL ARMY HOSPITAL"
ASTEROID,,,APP,TV,1997,AIR FORCE AND ARMY GAVE FULL COOPERATION TO STORY OF ASTEROID HITTING EARTH
AT WAR WITH THE ARMY,tt0042209,,APP,FILM,1951,DEAN MARTINJERRY LEWIS COMEDY SET IN PEACETIME ARMY
ATTACK!,tt0048966,,DEN,FILM,1956,ATTACK! WAS THE FIRST MAJOR MILITARY MOVIE IN THE POST~WORLD WAR II PERIOD WHICH DID NOT RECEIVE ARMY COOPERATION BECAUSE OF THE STORY LINE IN WHICH AN ENLISTEO MAN KILLED HIS COMMANDER DUE TO THE OFFICER'S INCOMPETENCE.
AWAY ALL BOATS,tt0048971,,APP,FILM,1956,"FULL NAVY COOPERATION PORTRAYING AMPHIBIOUS LANDINGS, USE OF SHIPS AND LANDING CRAFT"
"B.R.A.T. PATROL, THE",,,APP,TV,1986,IT WAS AN ACCURATE AND POSITIVE PORTRAYAL OF THE MARINE CORPS AND IN THE BEST INTEREST OF THE MARINES TO COOPERATE. NO FILE.
BACK TO BATAAN,tt0037522,,APP,FILM,1945,"AS TITLE SUGGESTS, A STORY ABOUT THE ARMY'S RETURN TO THE PHILIPPINES. JOHN WAYNE ACTION MOVIE. USE OF MEN AND EQUIPMENT FOR COMBAT SEQUENCES"
"BAILOUT AT 43,000 FEET",tt0050160,,APP,FILM,1957,"FULL AIR FORCE COOPERATION ON STORY OF THE DEVELOPMENT OF THE EJECTION SYSTEM FOR B-475. MEN, PLANES, LOCALES"
BAMBOO PRISON,tt0046746,,APP,FILM,1954,STORY ABOUT AMERICAN PRISONERS OF WAR DURING THE KOREAN WAR. LIMITED USE OF MEN AND EQUIPMENT
BAMBOO SAUCER,tt0062704,,LIM,FILM,1968,CONVOLUTED SCIENCE FICTION STORY ABOUT A FLYING SAUCER. LIMITED AIR FORCE COOPERATION
BAT 21,tt0094712,,APP,FILM,1988,"INITIAL SCRIPT RECEIVED AIR FORCE APPROVAL S-MAR~B4. AIR FORCE FELT SCRIPT WAS AN EXCELLENTPORTRAYAL OF A TRUE INCIDENT THAT OCCURRED IN VIETNAM. HOWEVER, THE PROJECT WENT INTO LIMBOUNTIL 1987, THE THE AIR FORCE APPROVED A NEW SCRIPT, ONCE SOME CHANGES WERE MADE. ASSISTANCEWAS PROVIDED IN THE PHILIPPINES, BUT TWO OBJECTIONAL SCENES REMAINED IN THE FILM, INCLUDING THEDESTRUCTION OF A VIETNAMESE VILLAGE. ACCORDINGLY, DOD DECLINED SCREEN CREDIT."
BATAAN,tt0035664,,LIM,FILM,1943,"CLASSIC ARMY STORY ABOUT FALL OF BATAAN. GROUP OF AMERICAN SOLDIERS FIGHT REAR GUARD ACTION, DYING ONE BY ONE STORY FILMED AT STUDIO AND OBTAINED LIMITED ASSISTANCE IN THE FORM OF INFORMATION. ARMY APPROVED COMPLETED PRODUCTION"
BATMAN AND ROBIN,tt0118688,,LIM,FILM,1997,ARMY ALLOWED USE OF WIND TUNNEL AT FORT BRAGG FOR BRIFF SEQUENCE
BATTLE AT BLOODY BEACH,tt0054671,,APP,FILM,1961,"FULL ARMY COOPERATION ON WORLD WAR II FILM, MEN AND EQUIPMENT"
BATTLE BENEATH THE EARTH,tt0061387,,LIM,FILM,1968,"NAVY PROVIDED LIMITED ASSISTANCE ON THIS SCIENCE FICTION FILM, USE OF SHIP AND LOCALE"
BATTLE CIRCUS,tt0045544,,APP,FILM,1953,"APPROVED ASSISTANCE, DATE APPROXIMATE"
BATTLE CRY,tt0047860,,APP,FILM,1955,"THIS IS THE QUINTESSENTIAL MARINE FILM OF THE POST-WAR PERIOD. JOHN WAYNE MAY HAVE BEEN THE MARINE FOR MOST AMERICANS, BUT SOME FORMER MARINES SAY ""BATTLE CRY"" BETTER REPRESENTED THEIR EXPERIENCES IN BOOT CAMP AND IN THE PACIFIC. RECEIVED FULL COOPERATION AT THE RECRUIT DEPOT IN SAN DIEGO, CAMP PENDLETON, AND DURING A TRAINING EXPERCISE ON VIEQUES ISLAND (PUERTO RICO)."
BATTLE GROUND,tt0041163,,APP,FILM,1949,"CLASSIC ARMY PICTURE SET IN THE BATTLE OF THE BULGE. FOCUS ON ARMY UNIT TRYING TO HOLD THE LINE. EXCEPT FOR VERY SMALL AMOUNT OF COMBAT FOOTAGE AND ONE OUTDOOR SCENE, MOVIE SHOT ENTIRELY ON MGM SET. ARMY PROVIDED SOME SOLDIERS TO SERVE AS EXTRAS AND TRAIN ACTORS. CONSIDERED BY SOME TO BE ONE OF BEST WORLD WAR II FILMS"
BATTLE HYMN,tt0050171,,OTH,FILM,1956,"STORY OF DEAN HESS, JET FIGHTER PILOT IN KOREA TURNED MINISTER. AIR FORCE GAVE FULL COOPERATION IN FORM OF PLANES, MEN, AND LOCALES"
BATTLE LOS ANGELES,tt1217613,BATTLE LA,APP,FILM,2011,"APPROVED FILMING FOR APPROXIMATELY ONE WEEK AT BARKSDALE AIR FORCE BASE, LA. MOST OF THE FILMING TOOK PLACE ON THE FLIGHT LINE WITH STATIC AIR FORCE AND MARINE  CORPS FIXED-WING AND ROTARY-WING AIRCRAFT, DURING THE AUGUST OCTOBER PERIOD. A STATIC ARMY M1 MAIN BATTLE TANK WAS ALSO FILMED AT BARKSDALE. DURING THIS TIME FRAME, THE PRODUCTION COMPANY ALSO FILMED FLYING AND STATIC MARING CORP HELICOPTERS AND CV-27 OSPREYS AT A CIVILIAN AIRPORT IN SHREVEPORT, LA."
BATTLE STATIONS,tt0048989,,APP,FILM,1956,"SLIGHTLY FICTIONALIZED STORY OF THE ATTACK ON THE USS FRANKLIN, CLOSE TO A DOCU-DRAMA AND DOCUMENTARY OF LIFE ON A WORLD WAR II CARRIER. NAVY PROVIDED USE OF CARRIER AND COMBAT FOOTAGE."
BATTLE TAXI,tt0047861,,APP,FILM,1955,"UNEXCEPTIONAL STORY OF ARMY HELICOPTERS IN KOREA WAR. USE OF MEN, EQUIPMENT, HELICOPTERS"
BATTLE ZONE,tt0044398,,APP,FILM,1952,KOREAN WAR FILM THAT RECEIVED COOPERATION
BATTLEGROUND,tt0041163,,APP,FILM,1949,FIRST POST-WAR ARMY MOVIE. FILMED ENTIRELY ON AN MGM SOUND STAGE ALTHOUGH SET IN WINTER DURING THE BATTLE OF THE BULGE. ARMY PROVIDED ACTIVE DUTY SOLDIERS AS EXTRAS
BATTLESHIP,tt1440129,,APP,FILM,2012,"APPROVED FILMING OF RIMPAC 2010. FILMED ON BOARD DDG-51 ARLEIGH BURKE CLASS DESTROYERS IN PORT AND UNDERWAY. FILMED FOR SEVERAL DAYS AT NAVAL BASE PEARL AND USS MISSOURI, AND IN AND AROUND THE VICINITY OF HONOLULU, HI, DURING THE SUMMER OF 2010. ALSO FILMED FOR ONE DAY, NOVE 20, 2010, AT THE INTREPID CENTER, BROOK ARMY MEDICAL CENTER, SAN ANTONIO, TX."
BAYWATCH,,LAST RESCUE,APP,TV,2000,"SAAV SIGNED LETTER APPROVING FILMING FOR TWO DAYS NEAR THE USS MISSOURI AND USS UTAH MEMORIAL PIER AT PEARL HARBOR, HI. NAVY PERSONNEL AND A NAVY BOAT WILL BE USED TO ENACT A RESCUE SCENE."
BEACH RED,tt0061389,,DEN,FILM,1967,"MARINES LIKED SCRIPT AND PROVIDED COMBAT FOOTAGE WHICH CORNEL WILDE RESTORED. HOWEVER, THE CORPS THEN CONCLUDED THE FILM WOULD MAKE AN ANTI-WAR STATEMENT AT A TIME WHEN VIETNAM WAS ESCALATING AND DECLINED TO PROVIDE ACTUAL ASSISTANCE. INSTEAD, THE PRODUCTION COMPANY USED THE PHILIPPINE ARMY."
BEACHHEAD,tt0046757,,LIM,FILM,1954,"MARINE CORPS INITIALLY TURNED DOWN REQUEST FOR COOPERATION SINCE FILM HAD A 50% CASUALTY RATE AT A TIME SERVICE WAS GEARING UP A MAJOR RECRUITING CAMPAIGN. FOUR MEN GO ON PATROL AND TWO DIE. HOWEVER, MARINES LIKED COMPLETED FILM AND PROVIDED THE MARINE BAND AT THE PREMIERE."
"BEAR, THE",tt0086945,,APP,FILM,1984,"ASSISTANCE WAS GIVEN EXCEPT FOR THE WWII VEHICLES OR AIRCRAFT FOR THE PRODUCTION. THIS IS A BIOGRAPHY OF BEAR BRYANT, THE ALABAMA FOOTBALL LEGEND. FILM BY THIS TITLE RELEASED IN 1984"
BEARDLESS WARRIORS,tt0062516,,OTH,FILM,1964,NEED ADDITIONAL INFORMATION
BEAST OF BUDAPEST,tt0051403,,LIM,FILM,1958,STORY OF HUNGARIAN UPRISING OF 1956. ARMY PROVIDED A FEW TANKS FOR SCENES OF SOVIET TANKS COMING INTO BUDAPEST
BEDFORD INCIDENT,tt0058962,,DEN,FILM,1965,"DIRECTOR & SCREENWRITER RECEIVED AN INFORMATIONAL TRIP ABOARD A DESTROYER. HOWEVER, THE SCRIPT, WHICH FEATURED AN UNACCETABLE DESTROYER CAPTAIN WHO PLAYS AN ULTIMATELY FATAL CAT AND MOUSE GAME WITH A SOVIET SUBMARINE. BRITISH PROVIDED ACTUAL DESTROYER AND HELICOPTER DURING THE FILMING."
BEGINNING OF THE END,tt0050177,,OTH,FILM,1957,"TYPICAL ATOMIC GENERATED ENEMY, IN THIS CASE GIANT GRASSHOPPERS, ILLINOIS NATIONAL GUARD TRIES AND FAILS TO STOP ADVANCE TOWARD CHICAGO. REGULAR ARMY BROUGHT IN IN FORM OF ABOUT FIVE MINUTES OF STOCK COMBAT FOOTAGE SHOWING TANKS, TRUCKS, ARTILLERY, MEN ALL FIRING AT GRASSHOPPERS WITHOUT SUCCESS. THE MILITARY (ACTORS TO BE SURE) APPEARS THROUGHOUT FILM AS AUTHORITY FIGURES DOING BEST TO SAVE THE WORLD."
